,"('State', '')","('Race', 'sum')","('Religion', 'sum')","('SexualOrientation', 'sum')","('Disability', 'sum')","('Gender', 'sum')","('GenderIdentity', 'sum')","('1stQtr', 'sum')","('2ndQtr', 'sum')","('3rdQtr', 'sum')","('4thQtr', 'sum')","('Population', 'sum')",WhitePct,BlackPct,AmerIndianOrAlaskaNativePct,AsianPct,NativeHawaiiOrOtherPacificIslePct,OtherRacePct,TwoOrMoreRacePct,HispanicPct
0,Alaska,7.0,0.0,4.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,329363.0,59.4,3.0,15.2,6.0,1.7,2.5,12.2,6.8
1,Arizona,143.0,36.0,30.0,3.0,2.0,3.0,45.0,61.0,46.0,57.0,4255437.0,60.4,4.7,4.5,3.6,0.2,12.6,13.9,30.7
2,Arkansas,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,216411.0,70.2,15.1,0.9,1.7,0.5,4.5,7.1,8.5
3,California,524.0,208.0,235.0,10.0,7.0,33.0,235.0,263.0,286.0,231.0,23578311.0,41.2,5.7,1.6,15.4,0.4,21.2,14.6,39.4
4,Colorado,117.0,36.0,47.0,7.0,0.0,5.0,45.0,69.0,61.0,35.0,3172893.0,70.7,4.1,1.3,3.5,0.2,8.0,12.3,21.9
5,Connecticut,48.0,16.0,11.0,0.0,1.0,0.0,15.0,19.0,23.0,19.0,1625094.0,66.4,10.8,0.4,4.8,0.0,8.3,9.2,17.3
6,Delaware,10.0,4.0,7.0,0.0,0.0,1.0,6.0,6.0,6.0,4.0,159975.0,60.4,22.1,0.5,4.3,0.0,4.9,7.7,10.5
7,District of Columbia,119.0,8.0,65.0,1.0,2.0,27.0,61.0,60.0,61.0,40.0,705749.0,39.6,41.4,0.5,4.9,0.1,5.4,8.1,11.3
8,Florida,48.0,36.0,27.0,0.0,0.0,0.0,34.0,26.0,21.0,30.0,4670834.0,57.7,15.1,0.4,3.0,0.1,7.3,16.5,26.5
9,Georgia,76.0,8.0,6.0,4.0,3.0,3.0,10.0,10.0,13.0,67.0,989301.0,51.9,31.0,0.5,4.5,0.1,5.2,6.9,10.5
