,Unnamed: 0,State,AgencyType,Agency,RaceEthnAnc,Religion,SexualOrientation,Disability,Gender,GenderID,Q1,Q2,Q3,Q4,Population
0,1,Alaska,Cities,Anchorage,4.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,287731.0
1,2,Alaska,Cities,Fairbanks,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31493.0
2,3,Alaska,Cities,Kotzebue,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3272.0
3,4,Alaska,Cities,North Pole,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8758389261744967,2111.0
4,5,Alaska,Cities,Soldotna,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4756.0
5,6,Arizona,Cities,Apache Junction,2.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,42531.0
6,7,Arizona,Cities,Casa Grande,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,58366.0
7,8,Arizona,Cities,Coolidge,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,13138.0
8,9,Arizona,Cities,Flagstaff,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,75013.0
9,10,Arizona,Cities,Gilbert,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,253619.0
10,11,Arizona,Cities,Glendale,9.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,253951.0
11,12,Arizona,Cities,Mesa,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,518160.0
12,13,Arizona,Cities,Page,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9386298763082779,0.8758389261744967,7588.0
13,14,Arizona,Cities,Phoenix,111.0,20.0,23.0,0.0,2.0,3.0,31.0,43.0,33.0,44.0,1688722.0
14,15,Arizona,Cities,San Luis,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34192.0
15,16,Arizona,Cities,Scottsdale,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,260464.0
16,17,Arizona,Cities,Somerton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16771.0
17,18,Arizona,Cities,Surprise,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,140962.0
18,19,Arizona,Cities,Tempe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,196499.0
19,20,Arizona,Cities,Tucson,6.0,6.0,4.0,0.0,0.0,0.0,4.0,5.0,5.0,2.0,548374.0
20,21,Arizona,Cities,Yuma,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,98769.0
21,22,Arizona,Universities and Colleges,University of Arizona,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,48318.0
22,23,Arkansas,Cities,Benton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37161.0
23,24,Arkansas,Cities,Conway,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,67336.0
24,25,Arkansas,Cities,Fort Smith,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,88041.0
25,26,Arkansas,Cities,Searcy,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23873.0
26,27,Arkansas,Nonmetropolitan Counties,Logan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,76703.51865671642
27,28,Arkansas,Nonmetropolitan Counties,Pope,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,76703.51865671642
28,29,California,Cities,Alameda,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,78907.0
29,30,California,Cities,Antioch,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,112641.0
30,31,California,Cities,Apple Valley,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,74051.0
31,32,California,Cities,Arvin,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21811.0
32,33,California,Cities,Azusa,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,50405.0
33,34,California,Cities,Bakersfield,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,388080.0
34,35,California,Cities,Beaumont,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50990.0
35,36,California,Cities,Bell,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.9386298763082779,0.0,35759.0
36,37,California,Cities,Bellflower,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,77196.0
37,38,California,Cities,Bell Gardens,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,42366.0
38,39,California,Cities,Belmont,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,27272.0
39,40,California,Cities,Berkeley,4.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,122788.0
40,41,California,Cities,Beverly Hills,1.0,6.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,34211.0
41,42,California,Cities,Big Bear,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5311.0
42,43,California,Cities,Brea,0.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,44155.0
43,44,California,Cities,Brentwood,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,65483.0
44,45,California,Cities,Brisbane,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4746.0
45,46,California,Cities,Buena Park,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,82627.0
46,47,California,Cities,Burbank,7.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,103738.0
47,48,California,Cities,Camarillo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,69628.0
48,49,California,Cities,Capitola,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10101.0
49,50,California,Cities,Carlsbad,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,117220.0
50,51,California,Cities,Cathedral City,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,55346.0
51,52,California,Cities,Central Marin,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34793.0
52,53,California,Cities,Chico,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,95826.0
53,54,California,Cities,Chino,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,93348.0
54,55,California,Cities,Chula Vista,6.0,2.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,2.0,275230.0
55,56,California,Cities,Citrus Heights,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,88496.0
56,57,California,Cities,Claremont,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36681.0
57,58,California,Cities,Clearlake,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,15400.0
58,59,California,Cities,Clovis,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,114170.0
59,60,California,Cities,Coachella,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,46485.0
60,61,California,Cities,Compton,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,96638.0
61,62,California,Cities,Concord,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,130615.0
62,63,California,Cities,Coronado,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,21115.0
63,64,California,Cities,Costa Mesa,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,114047.0
64,65,California,Cities,Cupertino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60357.0
65,66,California,Cities,Cypress,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,49085.0
66,67,California,Cities,Davis,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,69767.0
67,68,California,Cities,Delano,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,53002.0
68,69,California,Cities,Dublin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,66072.0
69,70,California,Cities,El Cajon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,103686.0
70,71,California,Cities,El Cerrito,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25857.0
71,72,California,Cities,Elk Grove,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,175492.0
72,73,California,Cities,El Monte,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,115830.0
73,74,California,Cities,El Segundo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16727.0
74,75,California,Cities,Emeryville,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12380.0
75,76,California,Cities,Escondido,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,153215.0
76,77,California,Cities,Eureka,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26973.0
77,78,California,Cities,Fairfield,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,118383.0
78,79,California,Cities,Folsom,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,79927.0
79,80,California,Cities,Fontana,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,215883.0
80,81,California,Cities,Fountain Valley,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,55858.0
81,82,California,Cities,Fremont,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,240887.0
82,83,California,Cities,Fresno,8.0,2.0,2.0,0.0,0.0,2.0,10.0,2.0,2.0,0.8758389261744967,534285.0
83,84,California,Cities,Fullerton,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,140194.0
84,85,California,Cities,Galt,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26796.0
