"","State","Totals","StateR","Pop","CrimesPerPop","CrimesPerPop100k"
"1","Alaska",11,0,731545,1.50366689677327e-05,1.50366689677327
"2","Arizona",217,1,7278717,2.98129464299821e-05,2.98129464299821
"3","Arkansas",9,1,3017804,2.98230103744312e-06,0.298230103744312
"4","California",1017,0,39512223,2.57388707286857e-05,2.57388707286857
"5","Colorado",212,0,5758736,3.68136341030393e-05,3.68136341030393
"6","Connecticut",76,0,3565287,2.13166569760022e-05,2.13166569760022
"7","Delaware",22,0,973764,2.25927432108807e-05,2.25927432108807
"8","District of Columbia",222,0,705749,0.000314559425518137,31.4559425518137
"9","Florida",111,1,21477737,5.16814224887845e-06,0.516814224887845
"10","Georgia",100,1,10617423,9.4184813019129e-06,0.94184813019129
"11","Hawaii",41,0,1415872,2.89574198797631e-05,2.89574198797631
"12","Idaho",24,1,1787065,1.34298416677625e-05,1.34298416677625
"13","Illinois",66,0,12671821,5.20840690536901e-06,0.520840690536901
"14","Indiana",76,1,6732219,1.12889969859863e-05,1.12889969859863
"15","Iowa",10,0,3155070,3.16950178601426e-06,0.316950178601426
"16","Kansas",74,1,2913314,2.5400626228412e-05,2.5400626228412
"17","Kentucky",152,1,4467673,3.40221855986327e-05,3.40221855986327
"18","Louisiana",26,1,4648794,5.59284838175234e-06,0.559284838175234
"19","Maine",19,0,1344212,1.41346751851642e-05,1.41346751851642
"20","Maryland",19,0,6045680,3.14273993992404e-06,0.314273993992404
"21","Massachusetts",416,0,6892503,6.0355432562017e-05,6.0355432562017
"22","Michigan",434,0,9986857,4.34571156871476e-05,4.34571156871476
"23","Minnesota",104,0,5639632,1.84409195493607e-05,1.84409195493607
"24","Mississippi",14,1,2976149,4.70406555585759e-06,0.470406555585759
"25","Missouri",83,1,6137428,1.35235802358903e-05,1.35235802358903
"26","Montana",32,1,1068778,2.994073605557e-05,2.994073605557
"27","Nebraska",46,1,1934408,2.37798851121377e-05,2.37798851121377
"28","Nevada",44,1,3080156,1.42849907602082e-05,1.42849907602082
"29","New Hampshire",16,0,1359711,1.17672064137159e-05,1.17672064137159
"30","New Mexico",50,0,2096829,2.38455305606704e-05,2.38455305606704
"31","New York",611,0,19453561,3.14081313955836e-05,3.14081313955836
"32","North Carolina",211,1,10488084,2.0118069229804e-05,2.0118069229804
"33","North Dakota",18,0,762062,2.36201253966213e-05,2.36201253966213
"34","Ohio",391,1,11689100,3.34499662078347e-05,3.34499662078347
"35","Oklahoma",28,1,3956971,7.0761195874319e-06,0.70761195874319
"36","Oregon",182,0,4217737,4.31511021194541e-05,4.31511021194541
"37","Pennsylvania",41,0,12801989,3.20262734173573e-06,0.320262734173573
"38","Rhode Island",17,0,1059361,1.60474097120812e-05,1.60474097120812
"39","South Carolina",68,1,5148714,1.32071814437547e-05,1.32071814437547
"40","South Dakota",20,1,884659,2.26075810001368e-05,2.26075810001368
"41","Tennessee",117,1,6829174,1.71323794063528e-05,1.71323794063528
"42","Texas",459,1,28995881,1.58298345892646e-05,1.58298345892646
"43","Utah",18,1,3205958,5.61454641639098e-06,0.561454641639098
"44","Vermont",33,0,623989,5.28855476618979e-05,5.28855476618979
"45","Virginia",163,0,8535519,1.90966712158921e-05,1.90966712158921
"46","Washington",556,0,7614893,7.30148145220163e-05,7.30148145220163
"47","West Virginia",31,0,1792147,1.72976881918727e-05,1.72976881918727
"48","Wisconsin",74,0,5822434,1.27094613695922e-05,1.27094613695922
"49","Wyoming",5,1,578759,8.63917450959726e-06,0.863917450959726
