"","State","AgencyType","Agency","RaceEthnAnc","Religion","SexualOrientation","Disability","Gender","GenderID","Q1","Q2","Q3","Q4","Population","TotalCrimes","PopulationT","TotalCrimesT"
"1","Alaska","Cities","Anchorage",4,0,2,0,0,0,1,2,3,0,287731,6,-0.533397120976467,-0.466966492500393
"2","Alaska","Cities","Fairbanks",1,0,0,0,0,0,0,1,0,0,31493,1,-0.595784634401826,-1
"3","Alaska","Cities","Kotzebue",1,0,0,0,0,0,0,0,1,0,3272,1,-0.667205066103173,-1
"4","Alaska","Cities","Soldotna",0,0,2,0,0,0,0,0,0,2,4756,2,-0.65484408300919,-0.744838731561351
"5","Arizona","Cities","Apache Junction",2,1,1,1,0,0,1,3,0,1,42531,5,-0.586900825404158,-0.504588964513974
"6","Arizona","Cities","Casa Grande",1,0,0,0,0,0,0,0,1,0,58366,1,-0.577686213827779,-1
"7","Arizona","Cities","Coolidge",4,0,0,0,0,0,2,2,0,0,13138,4,-0.62240566538776,-0.554784736033923
"8","Arizona","Cities","Flagstaff",0,1,0,0,0,0,1,0,0,0,75013,1,-0.57048361213136,-1
"9","Arizona","Cities","Gilbert",0,2,0,0,0,0,1,0,1,0,253619,2,-0.536773306850951,-0.744838731561351
"10","Arizona","Cities","Glendale",9,0,0,0,0,0,2,2,4,1,253951,9,-0.536738197814734,-0.393049215227122
"11","Arizona","Cities","Mesa",2,0,1,0,0,0,0,0,1,2,518160,3,-0.517936843607882,-0.626936372550773
"12","Arizona","Cities","Phoenix",111,20,23,0,2,3,31,43,33,44,1688722,159,-0.488227335880449,-0.115986173848174
"13","Arizona","Cities","San Luis",1,0,0,0,0,0,0,0,0,1,34192,1,-0.593340201494878,-1
"14","Arizona","Cities","Scottsdale",1,1,1,0,0,0,1,2,0,0,260464,3,-0.536059028196609,-0.626936372550773
"15","Arizona","Cities","Somerton",1,0,0,0,0,0,0,0,0,1,16771,1,-0.614854069826806,-1
"16","Arizona","Cities","Surprise",2,1,0,0,0,0,0,2,0,1,140962,3,-0.552770550394375,-0.626936372550773
"17","Arizona","Cities","Tempe",1,0,0,0,0,0,0,1,0,0,196499,1,-0.543665760901484,-1
"18","Arizona","Cities","Tucson",6,6,4,0,0,0,4,5,5,2,548374,16,-0.516471257408246,-0.307786103336229
"19","Arizona","Cities","Yuma",1,0,0,2,0,0,1,0,0,2,98769,3,-0.562689702164827,-0.626936372550773
"20","Arizona","Universities and Colleges","University of Arizona",0,4,0,0,0,0,1,0,1,2,48318,4,-0.583169164836325,-0.554784736033923
"21","Arkansas","Cities","Benton",1,0,0,0,0,0,0,0,0,1,37161,1,-0.590875020507866,-1
