State,Agency Type,Agency,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population
Alaska,Cities,Anchorage,4,0,2,0,0,0,1,2,3,0,287731
Alaska,Cities,Fairbanks,1,0,0,0,0,0,0,1,0,0,31493
Alaska,Cities,Kotzebue,1,0,0,0,0,0,0,0,1,0,3272
Alaska,Cities,North Pole,1,0,0,0,0,0,0,1,0,,2111
Alaska,Cities,Soldotna,0,0,2,0,0,0,0,0,0,2,4756
Arizona,Cities,Apache Junction,2,1,1,1,0,0,1,3,0,1,42531
Arizona,Cities,Casa Grande,1,0,0,0,0,0,0,0,1,0,58366
Arizona,Cities,Coolidge,4,0,0,0,0,0,2,2,0,0,13138
Arizona,Cities,Flagstaff,0,1,0,0,0,0,1,0,0,0,75013
Arizona,Cities,Gilbert,0,2,0,0,0,0,1,0,1,0,253619
Arizona,Cities,Glendale,9,0,0,0,0,0,2,2,4,1,253951
Arizona,Cities,Mesa,2,0,1,0,0,0,0,0,1,2,518160
Arizona,Cities,Page,1,0,0,0,0,0,0,1,,,7588
Arizona,Cities,Phoenix,111,20,23,0,2,3,31,43,33,44,1688722
Arizona,Cities,San Luis,1,0,0,0,0,0,0,0,0,1,34192
Arizona,Cities,Scottsdale,1,1,1,0,0,0,1,2,0,0,260464
Arizona,Cities,Somerton,1,0,0,0,0,0,0,0,0,1,16771
Arizona,Cities,Surprise,2,1,0,0,0,0,0,2,0,1,140962
Arizona,Cities,Tempe,1,0,0,0,0,0,0,1,0,0,196499
Arizona,Cities,Tucson,6,6,4,0,0,0,4,5,5,2,548374
Arizona,Cities,Yuma,1,0,0,2,0,0,1,0,0,2,98769
Arizona,Universities and Colleges,University of Arizona,0,4,0,0,0,0,1,0,1,2,48318
Arkansas,Cities,Benton,1,0,0,0,0,0,0,0,0,1,37161
Arkansas,Cities,Conway,1,0,0,0,0,0,0,0,1,0,67336
Arkansas,Cities,Fort Smith,4,0,0,0,0,0,0,0,2,2,88041
Arkansas,Cities,Searcy,1,0,0,0,0,0,0,0,0,1,23873
Arkansas,Nonmetropolitan Counties,Logan,1,0,0,0,0,0,0,0,0,1,
Arkansas,Nonmetropolitan Counties,Pope,0,0,1,0,0,0,0,1,0,0,
California,Cities,Alameda,2,0,0,0,0,0,0,1,0,1,78907
California,Cities,Antioch,2,1,1,0,0,0,0,2,1,1,112641
California,Cities,Apple Valley,0,0,2,0,0,0,0,2,0,0,74051
California,Cities,Arvin,0,1,0,0,0,0,0,1,0,0,21811
California,Cities,Azusa,2,0,1,0,0,0,0,2,1,0,50405
California,Cities,Bakersfield,1,0,1,1,0,0,1,0,1,1,388080
California,Cities,Beaumont,1,0,0,0,0,0,0,0,1,0,50990
California,Cities,Bell,0,0,1,0,1,0,1,1,,0,35759
California,Cities,Bellflower,1,0,0,0,0,0,0,1,0,0,77196
California,Cities,Bell Gardens,0,0,1,0,0,0,0,1,0,0,42366
California,Cities,Belmont,0,0,1,0,0,1,0,0,0,2,27272
California,Cities,Berkeley,4,2,2,0,0,0,0,2,0,6,122788
California,Cities,Beverly Hills,1,6,2,0,0,0,2,2,2,3,34211
California,Cities,Big Bear,1,0,0,0,0,0,0,1,0,0,5311
California,Cities,Brea,0,1,4,0,0,0,0,4,0,1,44155
California,Cities,Brentwood,0,4,0,0,0,0,1,0,2,1,65483
California,Cities,Brisbane,1,0,0,0,0,0,1,0,0,0,4746
California,Cities,Buena Park,1,0,0,0,0,0,0,1,0,0,82627
California,Cities,Burbank,7,0,0,0,0,0,2,4,1,0,103738
California,Cities,Camarillo,1,0,0,0,0,0,0,1,0,0,69628
California,Cities,Capitola,0,1,0,0,0,0,0,1,0,0,10101
California,Cities,Carlsbad,5,0,0,0,0,0,0,2,0,3,117220
California,Cities,Cathedral City,1,0,0,0,0,0,0,0,0,1,55346
California,Cities,Central Marin,0,1,0,0,0,0,0,0,1,0,34793
California,Cities,Chico,2,0,0,0,0,0,0,2,0,0,95826
California,Cities,Chino,2,1,0,0,0,0,0,0,1,2,93348
California,Cities,Chula Vista,6,2,0,0,1,0,4,1,2,2,275230
California,Cities,Citrus Heights,1,0,1,0,0,0,0,1,0,1,88496
California,Cities,Claremont,1,0,1,0,0,0,0,0,1,1,36681
California,Cities,Clearlake,2,1,0,0,0,0,2,0,1,0,15400
California,Cities,Clovis,1,0,0,0,0,0,0,0,0,1,114170
California,Cities,Coachella,0,0,1,0,0,0,0,1,0,0,46485
California,Cities,Compton,1,0,0,0,0,0,1,0,0,0,96638
California,Cities,Concord,2,0,0,0,0,0,1,0,1,0,130615
California,Cities,Coronado,0,0,1,0,0,1,0,0,2,0,21115
California,Cities,Costa Mesa,3,0,0,0,0,0,1,0,2,0,114047
California,Cities,Cupertino,1,0,0,0,0,0,0,0,0,1,60357
California,Cities,Cypress,1,0,0,0,0,0,0,0,0,1,49085
California,Cities,Davis,0,1,0,0,0,0,0,1,0,0,69767
California,Cities,Delano,2,0,0,0,0,0,1,0,1,0,53002
California,Cities,Dublin,1,0,0,0,0,0,0,0,1,0,66072
California,Cities,El Cajon,1,0,0,0,0,0,0,1,0,0,103686
California,Cities,El Cerrito,1,0,0,0,0,0,0,0,0,1,25857
California,Cities,Elk Grove,0,1,0,0,0,0,0,0,0,1,175492
California,Cities,El Monte,3,0,0,0,0,0,2,1,0,0,115830
California,Cities,El Segundo,1,0,0,0,0,0,0,0,0,1,16727
California,Cities,Emeryville,1,0,0,0,0,0,0,1,0,0,12380
California,Cities,Escondido,3,1,0,0,0,0,2,0,0,2,153215
California,Cities,Eureka,1,0,1,0,0,0,1,1,0,0,26973
California,Cities,Fairfield,1,0,1,0,0,0,2,0,0,0,118383
California,Cities,Folsom,0,0,1,0,0,0,0,0,0,1,79927
California,Cities,Fontana,1,0,0,0,0,0,0,0,1,0,215883
California,Cities,Fountain Valley,1,0,0,0,0,0,0,1,0,0,55858
California,Cities,Fremont,2,2,0,0,0,0,0,1,1,2,240887
California,Cities,Fresno,8,2,2,0,0,2,10,2,2,,534285
California,Cities,Fullerton,1,0,1,0,0,0,1,0,1,0,140194
California,Cities,Galt,0,0,1,0,0,0,1,0,0,0,26796
California,Cities,Garden Grove,1,0,1,0,0,1,0,2,0,1,172832
California,Cities,Greenfield,1,0,0,0,0,0,,0,1,0,17809
California,Cities,Hawthorne,2,0,2,0,1,1,0,2,2,2,87305
California,Cities,Hayward,4,0,0,0,0,0,1,1,1,1,161588
California,Cities,Huntington Beach,4,3,1,0,0,0,1,1,2,4,201843
